radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,11268,128016386,0,9.148178101,45.46211243,1000,1,1,1435622345,1435622345,0,"Viale Ergisto Bezzi, 73, 20146 Milano MI, Italy"
LTE,222,1,11268,128004865,0,9.142684937,45.48408508,1000,1,1,1435909326,1435909326,0,"Via Bertinoro, 9, 20148 Milano MI, Italy"
LTE,222,1,11268,128000770,0,9.155044556,45.49095154,1000,1,1,1444721815,1444721815,0,"Via Giuseppe Arimondi, 15, 20155 Milano MI, Italy"
LTE,222,1,11268,128012035,0,9.167404175,45.48820496,1000,1,1,1431740695,1431740695,0,"Via Gran S. Bernardo, 4, 20154 Milano MI, Italy"
LTE,222,1,11268,128013315,0,9.14680481,45.46485901,1000,1,1,1435622349,1435622349,0,"Via Giuseppe Frua, 24, 20146 Milano MI, Italy"
LTE,222,1,11268,128016385,0,9.157791138,45.46211243,1000,1,1,1435221270,1435221270,0,"Piazza Po, 4, 20144 Milano MI, Italy"
LTE,222,1,11268,128039169,0,9.18800354,45.50193787,1000,1,1,1441963664,1441963664,0,"Via Valassina, 45, 20159 Milano MI, Italy"
LTE,222,1,11268,128034817,0,9.14680481,45.48545837,1000,1,1,1444650265,1444650265,0,"Via Ignazio Gardella, 2, 20149 Milano MI, Italy"
LTE,222,1,11269,128213506,0,9.159164429,45.47859192,1000,1,1,1444641466,1444641466,0,"Largo Domodossola, 1 A, 20145 Milano MI, Italy"
LTE,222,1,11271,128039169,0,9.189376831,45.50331116,1000,1,1,1443147858,1443147858,0,"Via Benefattori dell'Ospedale, 84, 20159 Milano MI, Italy"
LTE,222,1,11270,128275460,0,9.138565063,45.4662323,1000,1,1,1437667578,1437667578,0,"Via Pisanello, 20, 20146 Milano MI, Italy"
LTE,222,1,11300,128049672,0,9.127578735,45.48545837,1000,1,1,1443793594,1443793594,0,"Via Diomede Via Trenno, 20148 Milano MI, Italy"
LTE,222,1,11269,128202241,0,9.157791138,45.47035217,1000,1,1,1444650288,1444650288,0,"Via Privata Duccio di Boninsegna, 10, 20145 Milano MI, Italy"
LTE,222,1,11271,128005121,0,9.177017212,45.47584534,1000,1,1,1444721815,1444721815,0,"Viale Repubblica Cisalpina, 3, 20154 Milano MI, Italy"
LTE,222,1,11300,128049665,0,9.131698608,45.49507141,1000,1,1,1444721815,1444721815,0,"Via Inverigo, 14, 20151 Milano MI, Italy"
LTE,222,1,11300,128036097,0,9.130325317,45.50331116,1000,1,1,1430027538,1430027538,0,"Via Montefeltro, 9, 20156 Milano MI, Italy"
LTE,222,1,11269,128034818,0,9.153671265,45.47996521,1000,1,1,1442312564,1442312564,0,"Via Demetrio Stratos, 8, 20145 Milano MI, Italy"
LTE,222,1,11270,128021250,0,9.137191772,45.46485901,1000,1,1,1437016283,1437016283,0,"Piazzale Siena, 7, 20146 Milano MI, Italy"
LTE,222,1,11270,128269317,0,9.166030884,45.45661926,1000,1,1,1442915895,1442915895,0,"Via Montevideo, 20144 Milano MI, Italy"
LTE,222,1,11270,128213761,0,9.148178101,45.45661926,1000,1,1,1437667578,1437667578,0,"Via Leone Tolstoi, 102, 20146 Milano MI, Italy"
LTE,222,1,11300,128003843,0,9.13444519,45.50468445,1000,1,1,1430454533,1430454533,0,"Via Angelo Brunetti, 13, 20156 Milano MI, Italy"
LTE,222,1,11270,128280582,0,9.137191772,45.46485901,1000,1,1,1438316526,1438316526,0,"Piazzale Siena, 7, 20146 Milano MI, Italy"
LTE,222,1,11270,128275457,0,9.137191772,45.46485901,1000,1,1,1438316526,1438316526,0,"Piazzale Siena, 7, 20146 Milano MI, Italy"
LTE,222,1,11300,128229123,0,9.10697937,45.51979065,1000,1,1,1436206687,1436206687,0,"Cardo, 20157 Milano MI, Italy"
LTE,222,1,11300,128222984,0,9.145431519,45.50331116,1000,1,1,1443602845,1443602845,0,"Via Maggianico, 6, 20156 Milano MI, Italy"
LTE,222,1,11300,128153345,0,9.126205444,45.51704407,1000,1,1,1436408935,1436408935,0,"Via Felice Orsini, 84, 20157 Milano MI, Italy"
LTE,222,1,11268,128007937,0,9.150924683,45.49919128,1000,1,1,1443158414,1443158414,0,"Via Grosseto, 1, 20156 Milano MI, Italy"
LTE,222,1,11268,128202247,0,9.164657593,45.47309875,1000,1,1,1431937228,1431937228,0,"Via Reggimento Savoia Cavalleria, 7, 20145 Milano MI, Italy"
LTE,222,1,11268,128014337,0,9.177017212,45.4662323,1000,1,1,1435590649,1435590649,0,"Via San Nicolao, 2, 20123 Milano MI, Italy"
LTE,222,1,11268,128039170,0,9.170150757,45.52116394,1000,1,1,1441963664,1441963664,0,"Via Gian Rinaldo Carli, 9, 20161 Milano MI, Italy"
LTE,222,1,11268,128034819,0,9.144058228,45.47996521,1000,1,1,1433958181,1433958181,0,"Lotto Fieramilanocity, 20149 Milano MI, Italy"
LTE,222,1,11268,128048899,0,9.164657593,45.4813385,1000,1,1,1435627923,1435627923,0,"Corso Sempione, 41, 20145 Milano MI, Italy"
LTE,222,1,11268,128018945,0,9.170150757,45.48408508,1000,1,1,1435909469,1435909469,0,"Via Paolo Lomazzo, 43, 20154 Milano MI, Italy"
LTE,222,1,11268,128005121,0,9.179763794,45.47584534,1000,1,1,1435627923,1435627923,0,"Viale Giorgio Byron, 2, 20154 Milano MI, Italy"
LTE,222,1,11268,128042753,0,9.153671265,45.48408508,1000,1,1,1444650288,1444650288,0,"Via Luigi Giuseppe Faravelli, 16, 20149 Milano MI, Italy"
LTE,222,1,11268,128202249,0,9.157791138,45.46348572,1000,1,1,1431924968,1431924968,0,"Via Domenico Cimarosa, 25, 20144 Milano MI, Italy"
LTE,222,1,11268,128006147,0,9.150924683,45.47859192,1000,1,1,1434281949,1434281949,0,"Piazzale Arduino, 4, 20149 Milano MI, Italy"
LTE,222,1,11268,128022529,0,9.163284302,45.46348572,1000,1,1,1436011780,1436011780,0,"Via Andrea Verga, 4, 20144 Milano MI, Italy"
LTE,222,1,11268,128007939,0,9.139938354,45.49095154,1000,1,1,1444721815,1444721815,0,"Tunnel Gattamelata, 20151 Milano MI, Italy"
LTE,222,1,11270,128202249,0,9.16053772,45.46073914,1000,1,1,1441819683,1441819683,0,"Via Giuseppe Dezza, 13, 20144 Milano MI, Italy"
LTE,222,1,11270,128016386,0,9.138565063,45.45799255,1000,1,1,1437667578,1437667578,0,"Via Bartolomeo D'Alviano, 51, 20146 Milano MI, Italy"
LTE,222,1,11300,128036098,0,9.138565063,45.49919128,1000,1,1,1426179616,1426179616,0,"Via Ludovico di Breme, 53, 20156 Milano MI, Italy"
LTE,222,1,11269,128018947,0,9.167404175,45.47584534,1000,1,1,1444650288,1444650288,0,"Via Abbondio Sangiorgio, 12, 20145 Milano MI, Italy"
LTE,222,1,11270,128286465,0,9.14680481,45.48545837,1000,1,1,1444721815,1444721815,0,"Via Ignazio Gardella, 2, 20149 Milano MI, Italy"
LTE,222,1,11270,128286470,0,9.138565063,45.47859192,1000,1,1,1442049828,1442049828,0,"Viale Federico Caprilli, 13, 20148 Milano MI, Italy"
LTE,222,1,11269,128257030,0,9.168777466,45.48545837,1000,1,1,1444778910,1444778910,0,"Via Paolo Lomazzo, 59, 20154 Milano MI, Italy"
LTE,222,1,11270,128004866,0,9.148178101,45.47584534,1000,1,1,1438005373,1438005373,0,"Via Monte Rosa, 50, 20149 Milano MI, Italy"
LTE,222,1,11269,128257027,0,9.168777466,45.48820496,1000,1,1,1444778910,1444778910,0,"Via Giuseppe Antonio Borgese, 1, 20154 Milano MI, Italy"
LTE,222,1,11271,128269314,0,9.167404175,45.45661926,1000,1,1,1442069261,1442069261,0,"Via Andrea Solari, 7, 20144 Milano MI, Italy"
LTE,222,1,11269,128034819,0,9.144058228,45.47996521,1000,1,1,1442049828,1442049828,0,"Lotto Fieramilanocity, 20149 Milano MI, Italy"
LTE,222,1,11269,128213517,0,9.16053772,45.4813385,1000,1,1,1438154586,1438154586,0,"Via Giovanni da Procida, 20, 20149 Milano MI, Italy"
LTE,222,1,11300,128220430,0,9.116592407,45.51704407,1000,1,1,1435962312,1435962312,0,"Via Cristina Belgioioso, 14, 20157 Milano MI, Italy"
LTE,222,1,11300,128220431,0,9.115219116,45.51567078,1000,1,1,1435909326,1435909326,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,11300,128229122,0,9.115219116,45.51567078,1000,1,1,1435909480,1435909480,0,"A4 Torino - Trieste, 20157 Milano MI, Italy"
LTE,222,1,11300,128219919,0,9.105606079,45.51841736,1000,1,1,1441974157,1441974157,0,"Cardo, 20157 Milano MI, Italy"
